packet_count,byte_count,avg_packet_size,tcp_count,udp_count,icmp_count,arp_count,unique_dst_ports,packets_per_second,in_out_ratio,fluctuation,syn_only_count,http_count,label
5,210,42.0,0,0,5,0,0,9.991038730691704,0.8,0.2481800357531155,0,0,0
6,252,42.0,0,0,6,0,0,11.99656775443427,0.8333333333333334,0.22173956093177097,0,0,0
2,120,60.0,0,0,2,0,0,3.9515838871100932,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.97058657045481,0.8333333333333334,0.21915185530128628,0,0,0
6,252,42.0,0,0,6,0,0,11.98777872518804,0.8333333333333334,0.21714442331876543,0,0,0
2,120,60.0,0,0,2,0,0,3.951140910514652,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.988207434840838,0.8,0.23891312973443968,0,0,0
2,120,60.0,0,0,2,0,0,3.952911550354502,1.0,0.0,0,0,0
4,168,42.0,0,0,4,0,0,7.630575212524953,0.5,0.28689019767542495,0,0,0
6,252,42.0,0,0,6,0,0,11.96420696520819,0.8333333333333334,0.21548452192214637,0,0,0
2,120,60.0,0,0,2,0,0,3.9631343720767624,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.979039350348337,0.8,0.24419966175130126,0,0,0
4,168,42.0,0,0,4,0,0,7.968814819705333,1.0,0.28899958144032833,0,0,0
7,294,42.0,0,0,7,0,0,13.973560767590618,0.8571428571428571,0.18252829214058117,0,0,0
2,120,60.0,0,0,2,0,0,3.9877296355542033,1.0,0.0,0,0,0
4,168,42.0,0,0,4,0,0,7.9830871314406435,0.75,0.251591790415536,0,0,0
6,252,42.0,0,0,6,0,0,11.973246273023896,0.8333333333333334,0.1970035488147832,0,0,0
2,120,60.0,0,0,2,0,0,3.975881024174903,1.0,0.0,0,0,0
7,294,42.0,0,0,7,0,0,12.816785375657643,0.7142857142857143,0.17753770420789888,0,0,0
2,120,60.0,0,0,2,0,0,3.9691856803598693,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.920304020561082,0.8333333333333334,0.19740874000296985,0,0,0
5,210,42.0,0,0,5,0,0,9.984935600166832,0.8,0.2154654961544433,0,0,0
2,120,60.0,0,0,2,0,0,3.8816596084934996,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.996133143422625,0.8333333333333334,0.18769522089966284,0,0,0
4,168,42.0,0,0,4,0,0,7.999530819754205,0.75,0.22510044706659516,0,0,0
5,210,42.0,0,0,5,0,0,9.990029748790636,0.8,0.20611116989043188,0,0,0
3,180,60.0,0,0,3,0,0,3.0077619589432723,1.0,0.005226883564927034,0,0,0
5,210,42.0,0,0,5,0,0,9.970267271273354,0.8,0.206790975796772,0,0,0
5,210,42.0,0,0,5,0,0,9.984878552302307,0.8,0.19986444672758064,0,0,0
2,120,60.0,0,0,2,0,0,3.9680291232606244,1.0,0.0,0,0,0
8,336,42.0,0,0,8,0,0,15.990644206790098,0.875,0.1547060807939449,0,0,0
2,120,60.0,0,0,2,0,0,3.980932015373978,1.0,0.0,0,0,0
6,252,42.0,0,0,6,0,0,11.938099435206206,0.6666666666666666,0.17321088189422068,0,0,0
6,252,42.0,0,0,6,0,0,11.968986762015918,0.8333333333333334,0.172168542590847,0,0,0
2,120,60.0,0,0,2,0,0,3.9773947866145805,1.0,0.0,0,0,0
5,210,42.0,0,0,5,0,0,9.185517805341581,0.8,0.20903675751427336,0,0,0
